,word,convergence,correctness,comp_letter_score,freq,percentage,mean,var,skew,kurt,new,regression
0,abbey,0.00024600442807970544,0.40654205607476634,0.0008814053856908394,3.722808441502011e-05,0.025202296,4.53125,140.0,-0.051312936894231366,-1.5666326530612245,4.072993706310577,4.321423085087528
1,admit,0.0002920052560946097,0.6225165562913907,0.001702024193058173,0.0004715147823515832,0.092329447,3.9292929292929295,132.58333333333334,0.08286232696318833,-1.2834047266976685,3.5446498690599553,3.9117662217041365
2,adore,0.0006020108361950515,0.592274678111588,0.004756549753814358,2.4888491154337066e-05,0.093756109,3.53,123.55555555555559,0.08902015445266723,-1.436372664458362,3.185902015445267,3.932918064323454
3,agape,0.00032200579610432986,0.4774774774774775,0.0,5.989570259648827e-06,0.084571613,4.357142857142857,162.88888888888889,0.12189393981444144,-1.2667288926443687,3.9336179654100154,4.201683339523353
4,ahead,0.0002080037440673932,0.3954802259887006,0.00571393836240958,0.0005974985147702782,0.046119865,4.171717171717172,139.58333333333334,0.19161819047181883,-1.2801660948986413,3.773707273592637,4.280496288293859
5,album,0.00017600316805702502,0.532258064516129,0.0016564342593155432,7.490402188916531e-05,0.075875671,4.0606060606060606,158.25,0.0984556159048115,-1.5144363833297145,3.664391016135936,4.080515761604069
6,alien,0.0007400133202397643,0.6785714285714286,0.004802139687556988,0.000206691083907275,0.087407636,3.484848484848485,117.91666666666667,0.07614507608779812,-1.486643109540636,3.143978143972416,3.7725950538312
7,alike,0.0006740121322183799,0.5444015444015444,0.002598626223329889,0.00030142809919464925,0.090897465,4.1938775510204085,132.88888888888889,0.038127200991252885,-1.3652657688392749,3.778302516017493,4.045599602254857
8,allow,0.00019200345606220913,0.375,0.0025378396450063826,0.0013761448556033565,0.054474733,4.23469387755102,126.8888888888889,-0.11375365619946892,-1.3732981434850222,3.7998491241759713,4.352399853594119
9,aloft,0.000514009252166539,0.6363636363636364,0.0034344416752780985,3.353784877712017e-05,0.042877966,4.141414141414141,151.58333333333334,0.21004332641044546,-1.3043244888343404,3.7482770599137716,3.867691488667398
10,aloud,0.00035200633611405004,0.5775401069518716,0.0029785423378518023,0.00011267339236291448,0.095384719,3.525252525252525,132.25,-0.01841045450809567,-1.4794758452121026,3.1708862272764633,3.981027812980421
11,alpha,8.40015120272165e-05,0.2905982905982906,0.0030697222053370616,0.00010835561067255667,0.091738143,4.212121212121212,200.25,0.41994089961134196,-1.2003004982847596,3.8329031808702254,4.508008113032386
12,amber,0.00033800608410951397,0.4262295081967213,0.00399671752477053,4.141895907835682e-05,0.096175933,4.144329896907217,126.80555555555554,0.011736737670891891,-1.2948305899091734,3.7310705809835847,4.247572976428097
13,ample,0.0004580082441483947,0.6020408163265306,0.001261321500212753,0.0002373823528913441,0.065691173,4.216494845360825,153.80555555555557,0.16108197474878738,-1.3744032502185624,3.8109535582996212,3.9560041995490165
14,angry,0.0002900052200939617,0.5492227979274611,0.004467813506777703,0.0003020368850778953,0.084654751,3.979591836734694,181.22222222222226,0.33205311266046206,-1.330087915731417,3.614837964327271,4.01416552330567
15,aorta,0.00028200507609136964,0.48404255319148937,0.0019451705063521976,4.7928737794855543e-05,0.096275699,4.0,141.55555555555557,0.2011300932915267,-1.2475460175617163,3.620113009329153,4.165904580789295
16,aphid,0.00013000234004212076,0.43103448275862066,0.0011549449881466172,1.5248081612133113e-05,0.086143376,4.051020408163265,152.88888888888889,0.22026959831509085,-1.2852692756219575,3.667945327178448,4.27316476632396
17,apply,0.0002260040680732253,0.4095744680851064,0.0,0.0014621068937035195,0.093997289,3.98,186.55555555555557,0.27442643620478285,-1.4251740219457614,3.6094426436204783,4.318946064008423
18,apron,0.00030400547209849776,0.58,0.0037839645006382595,4.836187699577532e-05,0.076960509,3.8484848484848486,190.91666666666666,0.3502726326282755,-1.4147588698951221,3.4986636268991913,3.9671206606391975
19,aptly,0.00034200615611081,0.582089552238806,0.0,3.348156826948474e-05,0.097063929,4.05,212.8888888888889,0.39649487237178654,-1.2327401161954494,3.684649487237179,4.009020798668957
20,aroma,0.00024600442807970544,0.36363636363636365,0.0044374202176159505,2.879152596653177e-05,0.035933657,4.040816326530612,125.8888888888889,0.07108609420924436,-1.4086215586485513,3.643843303298475,4.357511025033724
21,askew,0.00010600190803434462,0.31666666666666665,0.0013221080785362593,4.938301875522609e-06,0.071536243,4.53125,144.66666666666666,0.0,-1.4999999999999998,4.078125,4.481672500267555
22,asset,0.00028000504009072165,0.42487046632124353,0.002735396024557778,0.00024721121017251297,0.074903463,3.9489795918367347,148.88888888888889,0.1334296827244355,-1.4963611049231453,3.5674246009255053,4.264208218185396
23,atoll,0.0003260058681056259,0.543010752688172,0.004726156464652605,6.566923663303715e-06,0.077760829,3.9696969696969697,164.58333333333334,0.2180975834979021,-1.4372635154622657,3.594537031077063,4.0240419426915235
24,atone,0.0005440097921762592,0.5647058823529412,0.007567929001276519,1.340084867606613e-05,0.079409018,3.494949494949495,139.25,0.23277623190978985,-1.3938803992921815,3.1687321686455245,3.9497843570302034
25,avert,0.0004400079201425626,0.5681818181818182,0.004376633639292444,3.577784976565602e-05,0.096973615,4.0,146.91666666666666,0.14825089622374335,-1.3659237962929298,3.6148250896223746,3.9817835086227102
26,awful,0.00010000180003240058,0.37383177570093457,0.0,0.00015882175331492356,0.081036835,4.204081632653061,137.88888888888889,0.005192400522459264,-1.4344232543612967,3.784192709440001,4.3916140421065855
27,axiom,0.00017800320405767303,0.4295774647887324,0.002097136952160963,2.9475352526625067e-05,0.098073123,4.247422680412371,134.13888888888889,0.04447330780118262,-1.3503946376299296,3.8271277431512525,4.264400023196431
28,badge,0.000514009252166539,0.5737051792828686,0.0,4.4823929790300675e-05,0.071855503,4.22680412371134,148.80555555555557,0.1458553752543686,-1.2997169887818254,3.8187092488656433,4.024390556346914
29,baker,0.0005600100801814433,0.4385245901639344,0.003115312139079691,2.7278021726884715e-05,0.099350954,4.466666666666667,86.66666666666667,-0.5763347592028897,-1.3650000000000002,3.9623665240797115,4.235658413147917
30,bayou,0.00018400331205961707,0.43137254901960786,0.0013221080785362593,6.6972332700347815e-06,0.078027411,4.26530612244898,137.22222222222223,0.12073435062737826,-1.3572397515120722,3.8508489452668195,4.270570423819584
31,beady,0.0005600100801814433,0.5507246376811594,0.001929973861771321,3.2583103302821003e-06,0.079628545,4.24,194.22222222222226,0.3417106973482878,-1.2946924631746521,3.850171069734829,4.0436093938885955
32,begin,0.00033200597610756995,0.5869565217391305,0.004574190018843839,0.001013477678558071,0.0934626,3.989795918367347,164.22222222222223,0.20055836915051956,-1.4521424739206148,3.6108721634456646,3.93967890252475
33,being,0.00040400727213089834,0.5138888888888888,0.006017871254027111,0.011692532953780336,0.07270722,4.161616161616162,168.58333333333334,0.2222597848037667,-1.3228597769252217,3.7676805239349225,4.000258633239563
34,berth,0.0004300077401393225,0.5735294117647058,0.009406722995562581,3.250751085629105e-05,0.083618523,4.040404040404041,145.58333333333334,0.13321353989729137,-1.3573387234441316,3.6496849903533657,3.9112539042300996
35,black,0.00040200723613025035,0.47345132743362833,0.0,0.0021191450357017166,0.06253119,3.76,151.88888888888889,0.24925784283349509,-1.4999349811552378,3.4089257842833494,4.197919785175935
36,bland,0.00048800878415811486,0.5769230769230769,0.005075679290012765,2.2424655597852445e-05,0.080590754,3.806122448979592,198.8888888888889,0.37342196389684423,-1.4471477169876097,3.4628524004713173,3.9573311599881076
37,bloke,0.0005820104761885714,0.5458015267175572,0.0,8.596865933635542e-06,0.041508094,4.134020618556701,117.13888888888886,0.020975340987831752,-1.3799232518040023,3.7227160907998145,4.075933079479119
38,blown,0.00033400601210821794,0.4864864864864865,0.0,0.0001298900778489859,0.077764566,4.11,149.88888888888889,0.09895641852799339,-1.4106157761205758,3.7088956418527994,4.184448998575968
39,bluff,0.00011200201603628866,0.22377622377622378,0.0,3.9052970678937726e-05,0.08489278,4.333333333333333,231.91666666666666,0.556795876480838,-1.1804850789965098,3.955679587648084,4.668393926174559
40,booze,0.00030400547209849776,0.35294117647058826,0.0,1.1628895517042229e-05,0.09891241,4.78125,202.66666666666666,0.2381130786599348,-1.482324489265928,4.326936307865994,4.4308371793826735
41,bough,0.0003060055080991458,0.4271356783919598,0.0013221080785362593,1.3137452221867739e-05,0.095583182,4.322916666666667,156.66666666666666,0.19276442847585407,-1.334748755092802,3.909901442847586,4.278333468593849
42,braid,0.000526009468170427,0.5836734693877551,0.0010485684760804814,2.019918454429437e-05,0.091582064,3.63265306122449,204.2222222222222,0.40640338492653505,-1.4997442458271215,3.3100280935946946,3.993521479079395
43,brave,0.0007740139322507805,0.5206896551724138,0.0023098899762932345,0.00019440501230581393,0.095874515,4.322916666666667,95.33333333333333,-0.30510629799811834,-1.3509462565406618,3.8601143702001885,4.09328697861825
44,brine,0.0009560172083097495,0.5573248407643312,0.0058507081636374695,4.863077275447795e-05,0.045259793,4.0,95.88888888888887,-0.21576009902125073,-1.351635205009875,3.578423990097875,3.983905703832017
45,brink,0.0005240094321697791,0.5416666666666666,0.004802139687556988,3.499580820204206e-05,0.077535727,4.081632653061225,200.88888888888889,0.5030749389482252,-1.0317547625107684,3.7237768816499246,4.025448141967887
46,brisk,0.0004100073801328424,0.4219409282700422,0.002826575892043037,4.196521106423017e-05,0.090960701,4.051546391752577,175.80555555555554,0.3445933150259809,-1.2523056769106213,3.680851084079918,4.2695842239397
47,buggy,0.0002720048960881296,0.4106280193236715,0.0,2.3760489999669992e-05,0.091780455,4.705263157894737,176.4722222222222,0.06828203667957536,-1.6414103662310944,4.241565045773221,4.324612169989948
48,cacao,0.00021400385206933725,0.34946236559139787,0.0,1.4194955603408471e-05,0.08687639,4.739583333333333,183.33333333333334,0.12488191266630484,-1.5341950413223142,4.27811319126663,4.437225653628932
49,canny,0.0006220111962015316,0.4647887323943662,0.003024132271594432,5.548007374906495e-06,0.072478557,4.625,170.66666666666666,0.11840795143336652,-1.5758056640625,4.174340795143337,4.188539916281341
50,cargo,0.00040800734413219436,0.6178010471204188,0.0016260409701537902,0.0002855003476873658,0.066622879,4.214285714285714,142.22222222222223,0.08671314393214548,-1.3639123535156255,3.801528457250358,3.9223446714575347
51,carry,0.000678012204219676,0.5070921985815603,0.0016260409701537902,0.0013299874824131966,0.094715491,4.185567010309279,146.13888888888889,0.11892195465533012,-1.2733304403142105,3.778902504743884,4.120559217981265
52,catch,0.0004460080281445066,0.40930232558139534,0.003176098717403197,0.00042893839440214855,0.102720126,4.197368421052632,48.555555555555564,-0.7972383001762164,-0.8348580136043036,3.697907748929747,4.286578731465834
53,cater,0.0011180201243622386,0.656934306569343,0.007203209531335482,2.5824476459424427e-05,0.051566172,4.22093023255814,57.88888888888889,-0.7801012461413875,-1.0563179475466118,3.720827084688187,3.7843926942481416
54,caulk,0.0003540063721146981,0.4823008849557522,0.0,1.4465598632772994e-06,0.037070147,4.257731958762887,118.47222222222223,-0.1318904387901758,-1.423007906719131,3.8187697190075807,4.192830862240429
55,chafe,0.0005360096481736671,0.5660377358490566,0.0023250866208741113,3.82646757255865e-06,0.095066136,3.948453608247423,149.80555555555554,0.16321336444703197,-1.5250069203649002,3.569929583867384,4.010657329822334
56,chant,0.0005740103321859794,0.6254826254826255,0.006929669928879704,3.401273855069761e-05,0.041683139,3.757575757575758,155.25,0.3429995212985845,-1.4976052857450324,3.4161181339480406,3.845531021961582
57,charm,0.00048400871215681883,0.5323383084577115,0.0039511275910279016,0.00015832295352176244,0.088148024,3.67,156.55555555555557,0.2788663330457417,-1.4714330112462675,3.330886633304574,4.052233473707393
58,cheek,0.0002900052200939617,0.43171806167400884,0.005577168561181691,0.00017213669145139325,0.065146731,4.212121212121212,200.25,0.41994089961134196,-1.2003004982847596,3.8329031808702254,4.217707564084545
59,chest,0.0005700102601846833,0.6504424778761062,0.009209166616011184,0.0004306028996116279,0.055114571,3.58,156.2222222222222,0.3103168215485489,-1.4016610381437808,3.253031682154855,3.7699904646008706
60,chief,0.0003880069841257143,0.5657894736842105,0.00206674366299921,0.0012785257633400107,0.089612322,3.81,197.88888888888889,0.3993130733336719,-1.4928455929943654,3.4689313073333676,4.00749232050854
61,choke,0.0004680084241516347,0.5,0.0009117986748525926,3.1213427027131166e-05,0.041900643,3.808080808080808,164.58333333333334,0.3459723881546525,-1.443908604390322,3.4618699660881926,4.1490978038837065
62,chord,0.0004300077401393225,0.6421568627450981,0.00285696918120479,6.856032584715942e-05,0.093481375,3.66,254.2222222222222,0.5227517661114037,-1.5123680406132325,3.3462751766111403,3.8638143024921376
63,chunk,0.0002400043200777614,0.4270833333333333,0.0009117986748525926,2.1083303499207894e-05,0.063567401,3.878787878787879,222.91666666666666,0.5678687810322524,-1.1658008909075026,3.547695969012316,4.283339614767313
64,chute,0.0005420097561756111,0.5546875,0.0027353960245577774,2.757560950908777e-05,0.091956431,3.585858585858586,217.58333333333334,0.4580141507121119,-1.4867004208838048,3.2730741423439387,4.026467727116167
65,cinch,0.00033200597610756995,0.467005076142132,0.004604583308005592,3.857992013763596e-06,0.08953052,4.6022727272727275,103.8888888888889,-0.45274231580380075,-1.5500174440218484,4.096771222965075,4.165396416349614
66,class,0.00045600820814774664,0.4908256880733945,0.0013221080785362593,0.0029829220816463557,0.093892748,4.206521739130435,120.55555555555554,0.004336976719420402,-1.257241393956125,3.786303262889333,4.145422891012467
67,clean,0.000532009576172371,0.6105769230769231,0.005334022247887666,0.0006343181056968724,0.091884311,3.45,172.2222222222222,0.27074788365124464,-1.4405719042663894,3.132074788365125,3.8890450469571953
68,cling,0.0005020090361626509,0.5518867924528302,0.006078657832350618,4.395765138846113e-05,0.087958783,4.255102040816326,144.88888888888889,0.04839805826847733,-1.3726864484926045,3.8344316425615417,3.9911870150952096
69,cloth,0.00043200777613997053,0.5318181818181819,0.005410005470792049,0.00042199529256150246,0.045339555,3.79,163.55555555555551,0.3319125926885074,-1.5292830295959352,3.444191259268851,4.034190050242342
70,clown,0.000346006228112106,0.5130890052356021,0.0,2.405605462636981e-05,0.08642513,3.84,161.88888888888889,0.27749874831234167,-1.4622952456816287,3.483749874831234,4.1360520647247725
71,comma,0.00022800410407387332,0.46875,0.0029025591149474195,3.3615280455925786e-05,0.064146077,4.510204081632653,173.2222222222222,0.14039288194195143,-1.5123919915440602,4.073222961663583,4.182568819817692
72,condo,0.00023600424807646537,0.4632768361581921,0.005926691386541852,9.425200973628061e-06,0.096364768,4.371134020618556,164.47222222222223,0.1355547360558433,-1.3885886060284658,3.947576092162285,4.156272156533584
73,could,0.00048400871215681883,0.583710407239819,0.002522643000425506,0.014314284993453802,0.037009131,3.9,152.2222222222222,0.23743549096999697,-1.4834279929671261,3.5337435490969993,3.9000866500465055
74,coyly,0.00037000666011988213,0.3522267206477733,0.001200534921889247,3.217277058211951e-06,0.096823169,5.119047619047619,189.66666666666666,0.353741044394074,-1.5183051695540843,4.642516961582264,4.417707782951224
75,cramp,0.0004440079921438586,0.4252336448598131,0.0010485684760804814,9.971342605564868e-06,0.085834395,3.9381443298969074,120.47222222222224,0.18598329305228642,-1.2945275885906806,3.5629282262124455,4.285151731947886
