,word,std,skew,kurt
0,slump,1.019951964554694,-0.08863927728325481,-0.03709991117987066
1,crank,1.1490357763476937,-0.11972788362247858,-0.5246428962373999
2,gorge,1.135751097536584,-0.5296080430038965,-0.12573883840021383
3,query,1.1295231621916968,-0.3957548110124887,-0.2512000835189374
4,drink,1.0344080432788598,0.1897333296257842,-0.18219931871778972
5,favor,1.1721874583444407,-0.4681244135033271,-0.33958646204453435
6,abbey,1.089276566120836,-0.49108555180260244,0.0036376568612506155
7,tangy,1.1466439045175765,-0.16726582178709323,-0.4929035644930959
8,panic,1.0344080432788598,0.1897333296257842,-0.18219931871778972
9,solar,1.0942709142586537,0.14942024483413902,-0.3846964507508748
10,shire,1.101334397611233,0.16152156541828205,-0.3886710011248997
11,proxy,1.1169804964111418,-0.6701349101194289,0.111120488123444
12,point,1.061420703995579,0.361741732592059,-0.22081898039162118
13,robot,1.0979981785048645,0.057219410248766686,-0.39108315144235206
14,prick,1.0850926561680363,0.08739920599643697,-0.36036381204087276
15,wince,1.087441084972483,-0.3159166176029105,-0.16491700290946687
16,crimp,1.0274271608041543,0.029828581749848107,-0.11041111132992754
17,knoll,1.0445273219925313,-0.5520731397463032,0.2764460311647432
18,sugar,1.0925993903249456,-0.06713522425308241,-0.35587141433693015
19,whack,1.0583261048025898,-0.1213796990952337,-0.16114429756319115
20,mount,1.0975437344647776,0.06904790987613325,-0.3994864502716746
21,perky,1.1440800980846286,-0.3233316528679968,-0.35833696025485695
22,could,1.0816653826391966,0.0568923278179725,-0.32741617357001784
23,wrung,0.9711048165696025,0.04920069522989487,-0.5392628914596052
24,light,1.2235892552075978,0.03177517775596106,-0.7419656628523748
25,those,1.1051262138673013,0.25940134250380864,-0.3808773814234834
26,moist,1.1887388274974449,0.10072229512317314,-0.405443076463754
27,shard,1.1926725661014077,-0.17036075560687727,-0.6415411037579011
28,pleat,1.1517511068997928,0.08014552081148833,-0.5476923076923068
29,aloft,1.0731818169934082,-0.13608678110531194,-0.2304230052322529
30,skill,1.101887770382465,-0.28527491729351306,-0.22862536558741153
31,elder,1.1561709657049248,-0.5859473607933797,-0.15688374975374586
32,frame,1.2855618502558845,-0.2046275370404169,-0.8650882767406753
33,humor,1.0997709049230597,-0.15129111139842155,-0.3286262322701097
34,pause,1.1421280473169977,-0.0023277028214869168,-0.5133561358954397
35,ulcer,1.1356127530084403,-0.3104426699979877,-0.3611421946714519
36,ultra,1.1184331745993057,-0.12286378433567807,-0.4079091143761193
37,robin,1.0754611437742354,0.043232895077645425,-0.3340937920373075
38,cynic,1.1241174982792173,-0.03714140947520336,-0.446363320730252
39,aroma,1.1241174982792173,-0.03714140947520336,-0.446363320730252
40,caulk,1.1331768182193682,-0.21940148761772438,-0.4187234085813367
41,shake,1.2559242537636917,-0.3871830394361916,-0.6547371649727922
42,dodge,1.135111866624175,-0.38756476015583374,-0.2682464908001947
43,swill,1.077032961426901,-0.9073695579379302,0.7027788787598515
44,tacit,1.1205921561871304,-0.1884438021426216,-0.3993901141060867
45,other,1.1649028364392193,0.0029277878118235956,-0.5977637938832041
46,thorn,1.038391699062335,0.3383767172079925,-0.129367017737692
47,trove,1.2304195408487655,-0.41025444499279456,-0.5754086797374445
48,bloke,1.1363612208787939,-0.17981741162521997,-0.4330919880099571
